锂电池型号,电芯品牌,电压(V),容量(Ah),尺寸(mm),总重量(kg),模组串并联方式,适用叉车型号,单体电芯容量(Ah),模组配置(串S并P联）,对应铅酸电池电压(V),含配重(kg),电池详情,长(mm),宽(mm),高(mm),锂电池型号编码,电芯品牌编码
F36560BG,瑞浦,38.4,560.0,972x396x749,863.0,N/A,Yale NR035EC,280,12S2P,36,598,型号：F36560BG叉车项目： 电芯：瑞浦280Ah ，组合方式：12S2P ；电压：38.4V； 容量：560Ah ；电量：21.504KWh，箱体尺寸：972*396*749mm，配重598KG，总重量863KG； 加顶盖，带4G 模块，带加热，放电插头：Anderson SB350 Gray ，充电头：Anderson Euro 320A-Female A系列  (与Ecotech适配通讯)，自研BMS。（叉车型号：Yale NR035EC）,972.0,396.0,749.0,428,1
F48420BG-A,EVE,51.2,420.0,900x810x475,860.0,N/A,N/A,105,16S4P,48,617,"型号：F48420BG-A 叉车项目：；电芯：亿纬105Ah ，组合方式：16S4P ；电压：51.2V ；容量：420Ah； 电量：21.5KWh；尺寸：（900*810*475mm）配重:617kg,总重量：860kg，带4G模块，不带加热功能 ，放电头Anderson SB350A，充电头Rema 320，自研BMS，",900.0,810.0,475.0,790,0
F72460I,瑞浦,73.6,460.0,1025x705x780,1180.0,N/A,Hyster J3.0GX,230,23S2P,72,662,型号：F72460I叉车项目；电芯：瑞浦LF230Ah，组合方式：23S2P， 电压：73.6V， 容量：460Ah， 电量：33.856KWh，配重662KG，总重量：1180KG，箱体尺寸：1025*705*780mm，带加热功能，带4G，放电接头为 SBE320-GREEN，显示屏线长3M，BMS-自研。（叉车型号：Hyster J3.0GX ）,1025.0,705.0,780.0,1322,1
F36560AN,瑞浦,38.4,560.0,970x404x775,885.0,N/A,Crown RD5220-30,280,12S2P,36,621,型号：F36560AN叉车项目： 电芯：瑞浦280Ah ，组合方式：12S2P 电压：38.4V 容量：560Ah 电量：21.504KWh（箱体最大尺寸：970*404*775mm）配重621KG，总重量885KG，带4G模块，带上盖，带加热功能，BMS-自研。（叉车型号：Crown RD5220-30）,970.0,404.0,775.0,411,1
F24320F,EVE,25.6,320.0,780x326x571,375.0,N/A,N/A,160,8S2P,24,270,型号：F24320F叉车项目： 电芯：EVELF160 组合方式：8S2P 电压：25.6V 容量：320Ah 电量：8.192KWh（780×326×571mm）总重量375kg，配重270KG，带加热功能，带4G模块，BMS-自研。（充电器：Ecotec Charger ）,780.0,326.0,571.0,272,0
F36690BR,EVE,38.4,690.0,968x516x780,,N/A,N/A,230,12S3P,36,-,"型号：F36690BR叉车项目： 电芯：EVE230Ah ，组合方式：12S3P 电压：38.4V 容量：690Ah 电量：26.496KWh（箱体尺寸：968*516*780mm）带加热功能，带4G模块，BMS-自研。（尺寸和规格参数同F36690A，请按公司最新叉车电池技术状态更新：4G, 加热，自研BMS，按原来重量配重。）",968.0,516.0,780.0,520,0
F80840W,瑞浦,80.0,840.0,1020x990x780,2200.0,N/A,Hyster 50B,280,25S3P,80,1619,"型号：F80840W叉车项目； 电芯：瑞浦280Ah ；组合方式：25S3P ；电压：80V； 容量：840Ah； 电量：67.2KWh（箱体最大尺寸： 1020*990*780mm）配重1619kg，总重量：2200KG，带4G.,不带加热 ,显示屏线长5M ,放电插头:SBE320A,自研BMS。（叉车型号：HY 50B)",1020.0,990.0,780.0,1522,1
F961120B,瑞浦,102.4,1120.0,1215x715x775,4060.0,N/A,N/A,280,32S4P,96,2710,"型号：F961120B叉车项目： 电芯：瑞浦280Ah 组合方式：32S4P 电压：102.4V 容量：1120Ah 电量：114.68KWh。（箱体尺寸：A/B包尺寸1215*715*775mm）A/B包两个总配重：2710kg,A/B包总重量：4060kg，带4G模块功能，带加热功能，BMS-自研。",1215.0,715.0,775.0,1547,1
F24280H(A&B箱）,瑞浦,25.6,280.0,408x220x700,,N/A,N/A,280,8S1P,24,-,型号：F24280G叉车项目：A/B包串联 电芯：瑞浦280Ah 组合方式：8S1P 电压：25.6V 容量：280Ah 电量：7.168KWh。（A/B包尺寸：408*220*700mm）带加热功能，带4G模块，自研BMS。,408.0,220.0,700.0,204,1
F24608D,EVE,25.6,608.0,970x415x780,730.0,N/A,Hyundai 13BOP-9,304,8S2P,24,510,型号：F24608D叉车项目： 电芯：EVELF304 组合方式：8S2P 电压：25.6V 容量：608Ah 电量：15.565KWh（970×415×780mm）带配重，铁块重量510kg，总重量：730，BMS-自研，带4G模块功能，带加热功能。（叉车型号：Hyundai 13BOP-9）,970.0,415.0,780.0,363,0
F80314H,瑞浦,80.0,314.0,765x610x411,250.0,N/A,N/A,314,25S1P,80,0,型号：F80314H叉车项目； 电芯：瑞浦314Ah， 组合方式：25S1P， 电压：80V， 容量：314Ah ，电量：25.15KWh，箱体尺寸：765*610*411mm，不带配重，总重量：250KG，不需加热，不需4G，不需要灭火装置，自研BMS。,765.0,610.0,411.0,1349,1
F96840A,瑞浦,96.0,840.0,1215x975x785,2750.0,N/A,Carer A80SC,280,30S3P,96,1756,型号：F96840A叉车项目： 电芯：瑞浦280Ah 组合方式：30S3P 电压：96V 容量：840Ah 电量：80.640KWh。（箱体尺寸：1215*975*785mm）配重：1756KG，总重量：2750KG，带4G模块功能，带加热功能，BMS-自研。（充电电流300A）,1215.0,975.0,785.0,1551,1
F48560AD,瑞浦,51.2,560.0,700x890x600,,N/A,N/A,280,16S2P,48,0,型号：F48560AD 叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸： 700*890*600mm) 不带配重，BMS-自研，带4G模块,700.0,890.0,600.0,1005,1
F80314D,瑞浦,80.0,314.0,1028x855x784,855.0,N/A,Hyster XN,314,25S1P,80,503,型号：F80314D叉车项目； 电芯：瑞浦314Ah， 组合方式：25S1P， 电压：80V， 容量：314Ah ，电量：25.12KWh，箱体尺寸：1028*855*784mm，配重503KG，总重量：855KG，带4G， 带加热  放电线接口为Rema 320母头，线长1.3m；显示屏线长3M，自研BMS。（叉车型号：HysterJ3.0XN）,1028.0,855.0,784.0,1347,1
F48690CJ,瑞浦,51.2,690.0,999x540x580,830.0,N/A,Toyota 8FBN25,230,16S3P,48,565,型号：F48690CJ叉车项目； 电芯：瑞浦230Ah ，组合方式：16S3P； 电压：51.2V ；容量：690Ah； 电量：35.328KWh（箱体尺寸：999*540*580mm）配重565KG，总重830KG，带4G模块，带加热； 放电插头：Anderson SB350A Gray，BMS-自研。（叉车型号：Toyota 8FBN25）,999.0,540.0,580.0,1244,1
F24100H,EVE,25.6,100.0,635x146.9x538,,N/A,N/A,50,8S2P,24,-,型号：F24100H叉车项目： 电芯：EVELF50  组合方式：8S2P 电压：25.6V 容量：100Ah 电量：2.56KWh（635*146.9*538mm）带加热功能，不带4G功能，MOS方案，（在F24100C的基础上宽度减少，原105电芯改为50Ah电芯，降成本，将继电器方案换成MOS方案）,635.0,146.9,538.0,20,0
F80420K,EVE,80.0,420.0,1026x853x784,1863.0,N/A,N/A,105,26S4P,80,1330,型号：F80420K叉车项目： 电芯：EVE105Ah ，组合方式：26S4P 电压：80V 容量：420Ah 电量：34.9KWh（箱体尺寸：1026*853*784mm）带配，铁块重量1330kg，总重量1863kg，带加热功能，带4G模块功能，BMS-自研。,1026.0,853.0,784.0,1372,0
F24150P,瑞浦,25.6,150.0,621x209x625,212.0,N/A,CAT NSP16,150,8S1P,24,150,型号：F24150P叉车项目： 电芯：瑞浦150Ah ，组合方式：8S1P 电压：25.6V 容量：150Ah 电量：3.84KWh（箱体尺寸：621x209x625mm，配重150KG，总重量212kg，带加热，带优克联4G模块，自研BMS。（叉车型号：CAT  NSP16）,621.0,209.0,625.0,60,1
F24304D,EVE,25.6,304.0,657x243x675,,N/A,N/A,304,8S1P,24,-,型号：F24304D叉车项目： 电芯：EVELF304 组合方式：8S1P 电压：25.6V 容量：304Ah 电量：7.782KWh（657*243*675mm）。,657.0,243.0,675.0,230,0
F80690S,瑞浦,80.0,690.0,1009x984x741,2177.0,N/A,Hyster J100XN,230,25S3P,80,1550,型号：F80690S叉车项目： 电芯：瑞浦230Ah ，组合方式：25S3P 电压：80V 容量：690Ah 电量：55.2KWh（箱体尺寸：1009*984*741mm）配重重量：1550kg；总重量：2177KG，带加热功能，带4G模块，自研BMS，（叉车型号：Hyster J100XN；充电器：Ecotec Charger）,1009.0,984.0,741.0,1501,1
F24280P,瑞浦,25.6,280.0,727x200x690,210.0,N/A,N/A,280,8S1P,24,150,型号：F24280P叉车项目： 电芯：瑞浦280Ah 组合方式：8S1P 电压：25.6V 容量：280Ah 电量：7.168KWh。（配重重量150kg，总重量：210KG，箱体尺寸：727 x 200x 690mm）带加热功能，带4G模块，BMS-自研。（电池上面不能丝印logo； 屏幕和软件都无logo ）,727.0,200.0,690.0,214,1
F48560AS-A,瑞浦,51.2,560.0,828x628x627,813.0,N/A,Hyster J2.0XN/M,280,16S2P,48,497,型号：F48560AS-A 叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸： 828×628×627mm) 总重量：813kg，配重497kg，带4G模块，带加热，BMS-自研。（叉车型号：Hyster  J2.0XN/M）,828.0,628.0,627.0,1019,1
F80560Q,瑞浦,80.0,560.0,1009.5x749x831.5,1954.0,N/A,N/A,280,25S2P,80,1485,型号：F80560Q叉车项目： 电芯：瑞浦280Ah ，组合方式：25S2P 电压：80V 容量：560Ah 电量：44.8KWh（箱体最大尺寸： 1009.5*749*831.5mm）总重量：1954kg，带配重，铁块重量：1485KG，带加热功能，带4G模块，自研BMS。,1009.5,749.0,831.5,1449,1
F48315U,EVE,51.2,315.0,752x342x551,,N/A,N/A,105,15S3P,48,0,型号：F48315U叉车项目： 电芯：EVELF105 组合方式：15S3P 电压：48V 容量：315Ah 电量：15.12KWh（箱体尺寸：752*342*551mm），不带配重，带加热功能，BMS-自研。,752.0,342.0,551.0,731,0
F80420J,EVE,80.0,420.0,1026x997x784,2178.0,N/A,N/A,105,26S4P,80,1631,型号：F80420J叉车项目： 电芯：EVE105Ah ，组合方式：26S4P 电压：80V 容量：420Ah 电量：34.9KWh（箱体尺寸：1026*997*784mm）带配，铁块重量1631kg，总重量2178kg，带加热功能，带4G模块功能，BMS-自研。,1026.0,997.0,784.0,1371,0
F48460BH,EVE,51.2,460.0,984x535x590,853.0,N/A,N/A,230,16S2P,48,570,型号：F48460BH叉车项目： 电芯：EVE230Ah ，组合方式：16S2P 电压：51.2V 容量：460Ah 电量：23.552KWh（箱体尺寸：984*535*590mm）带配重，铁块重量：570KG，总重量：853KG，带加热功能，带4G模块，BMS-自研。,984.0,535.0,590.0,891,0
F48314D,瑞浦,51.2,314.0,1032x350x782,835.0,N/A,Mitsubishi RB14N3L,314,16S1P,48,580,型号：F48314D叉车项目： 电芯：瑞浦314； 组合方式：16S1P， 电压：51.2V ，容量：314Ah， 电量：16.077KWh（1032*350*782mm）配重580，总重量835KG；带加热功能，带4G模块，BMS-自研。（叉车型号：三菱 RB14N3L）,1032.0,350.0,782.0,690,1
F36690AX,EVE,38.4,690.0,970x410x782,1035.0,N/A,N/A,230,12S3P,36,735,型号：F36690AX叉车项目： 电芯：EVE230Ah ，组合方式：12S3P 电压：38.4V 容量：690Ah 电量：26.496KWh（箱体尺寸：970*410*782mm），带配重，铁块重量：735KG，总重量：1035KG，带加热功能，带4G模块，BMS-自研。,970.0,410.0,782.0,504,0
F48690BJ,瑞浦,51.2,690.0,1117x990x571,1451.0,N/A,Hyster E45-60XN,230,16S3P,48,1000,"型号：F48690BJ叉车项目： 电芯：瑞浦230Ah ，组合方式：16S3P 电压：51.2V 容量：690Ah 电量：35.328KWh（箱体尺寸：1117*990*571mm）配重：1000KG，总重量：1451kg，带加热功能，带4G模块，BMS-自研。（充电器：ecotec 方案；

叉车型号：Hyster E45-60XN）",1117.0,990.0,571.0,1221,1
F48560DM,瑞浦,51.2,560.0,1006x630x627,862.0,N/A,Mitsubishi FB20N2T/FB20N2,280,16S2P,48,534,"型号：F48560DM叉车项目；电芯：瑞浦LF280Ah，组合方式：16S2P， 电压：51.2V， 容量：560Ah， 电量：28.672KWh（尺寸：1006*630*627mm，）配重534KG；总重量：862kg，带加热，带4G，带BDI显示屏，带RoyPow LOGO;放电接头为Rema 320A Female，带提手, 放电线长为1.5M,SOC显示屏线长3M;BMS-自研。（叉车型号：三菱FB20N2T&FB20N2）",1006.0,630.0,627.0,1091,1
F48690Q,EVE,51.2,690.0,1221x423x784,,N/A,N/A,230,16S3P,48,727,型号：F48690Q叉车项目： 电芯：EVE230Ah ，组合方式：16S3P 电压：51.2V 容量：690Ah 电量：35.328KWh（箱体尺寸：1221*423*784mm）带配重，铁块重量：727kg，加热功能，带4G模块，BMS-自研。,1221.0,423.0,784.0,1269,0
F24210D,EVE,25.6,210.0,685x198x1016,,N/A,N/A,105,8S2P,24,-,型号：F24210D叉车项目： 电芯：EVELF105 组合方式：8S2P 电压：25.6V 容量：210Ah 电量：5.376KWh（685*198*1016mm）。,685.0,198.0,1016.0,132,0
F24400G,瑞浦,25.6,400.0,779x323x593,442.0,N/A,Crown WP3200,100,8S4P,24,278,"型号：F24400G叉车项目： 电芯：瑞浦100A， 组合方式：8S4P， 电压：25.6V， 容量：400Ah ，电量：10.24KWh,箱体尺寸：779*323*593mm，配重278KG，总重量：442KG，不带加热功能，不带4G模块，放电插头：SB175 Gray，BMS-自研。（叉车型号：Crown WP 3200）",779.0,323.0,593.0,283,1
F48460AL,EVE,51.2,460.0,830x522x627,812.0,N/A,N/A,230,16S2P,48,582,型号：F48460AL叉车项目： 电芯：EVE230Ah ，组合方式：16S2P 电压：51.2V 容量：460Ah 电量：23.552KWh（箱体尺寸：830*522*627mm）带配重，铁块重量582kg，总重量812kg；带4G模块，带加热功能，BMS-自研。,830.0,522.0,627.0,871,0
F48460AC,EVE,51.2,460.0,830x630x632,856.0,N/A,N/A,230,16S2P,48,608,型号：F48460AC叉车项目： 电芯：EVE230Ah ，组合方式：16S2P 电压：51.2V 容量：460Ah 电量：23.552KWh（箱体尺寸：830*630*632mm）带配重，铁块重量608kg，总重量856kg；带4G模块，带加热功能，BMS-自研。,830.0,630.0,632.0,858,0
F48460DG,瑞浦,51.2,460.0,1223x355x784,900.0,N/A,Crown ESR1240,230,16S2P,48,620,型号：F48460DG叉车项目；电芯：瑞浦LF230Ah；组合方式：16S2P ；电压：51.2V ；容量：460Ah ；电量：23.552KWh。（箱体尺寸： 1223*355*784mm）；总重量900KG，配重620KG，带4G模块和加热功能，放电线接口为Rema 160母头，线长1.3m；显示屏线长3M，BMS-自研。（叉车型号：Crown ESR1240）,1223.0,355.0,784.0,939,1
F36690CH,瑞浦,38.4,690.0,985x530x786,768.0,N/A,Yale NR045EC,230,12S3P,36,464,"型号：F36690CH叉车项目；电芯：瑞浦230Ah ，组合方式：12S3P； 电压：38.4V； 容量：690Ah； 电量：26.496KWh（箱体尺寸：985*530*786mm）配重464KG，总重768KG，带加热功能, 带4G模块；放电接头为Anderson SB350 Grey,放电线长为1300mm,SOC显示屏线长3M，BMS-自研。（叉车型号：Yale NR045EC）",985.0,530.0,786.0,538,1
F48420CI,EVE,51.2,420.0,830x522x625,708.0,N/A,Clark GTX16,105,16S4P,48,-,型号：F48420CI叉车项目： 电芯：EVELF105 组合方式：16S4P 电压：51.2V 容量：420Ah 电量：21.504KWh（箱体尺寸：830*522*625mm），总重量：708KG，带4G模块，不带加热功能，BMS-自研。(叉车型号：CLARK  GTX16；电池放电接头为SBE160 Blue；配国产的防护盖和防丢绳),830.0,522.0,625.0,812,0
F48690B,EVE,51.2,690.0,540x975x650,,N/A,N/A,230,15S3P,48,-,型号：F48690B叉车项目： 电芯：EVE230Ah ，组合方式：15S3P 电压：48V 容量：690Ah 电量：33.12KWh（箱体尺寸：540*975*650mm）,540.0,975.0,650.0,1211,0
F24280AJ,瑞浦,25.6,280.0,624x284x627,300.0,N/A,Crown WT3040-2.0,280,8S1P,24,183,型号：F24280AJ叉车项目； 电芯：瑞浦280Ah； 组合方式：8S1P ；电压：25.6V； 容量：280Ah； 电量：7.168KWh，配重：183kg，总重量：300KG，箱体尺寸：624*284*627mm，带加热功能，带4G模块；放电线接口为Rema 160母头，线长1m；显示屏线长2M；BMS-自研。（叉车型号：Crown WT3040-2.0）,624.0,284.0,627.0,196,1
F24100C,EVE,25.6,105.0,635x180x540,,N/A,N/A,105,8S1P,24,-,型号：F24100C叉车项目： 电芯：EVELF105 组合方式：8S1P 电压：25.6V 容量：105Ah 电量：2.688KWh（635*180*540mm）,635.0,180.0,540.0,5,0
F48690W-B,瑞浦,51.2,690.0,960x425x580,362.0,N/A,N/A,230,16S3P,48,-,型号：F48690W-B叉车项目： 电芯：瑞浦230Ah ，组合方式：16S3P 电压：51.2V 容量：690Ah 电量：35.328KWh（箱体尺寸：960*425*580mm）总重量：362kg，带加热功能，带4G模块，BMS-自研。(F48690W-内箱）认证标准包，带显示屏，不带通讯。,960.0,425.0,580.0,1278,1
F48560BN,瑞浦,51.2,560.0,1223x355x784,772.0,N/A,N/A,280,16S2P,48,377,型号：F48560BN叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸：1223*355*784mm) 带配重，铁块重量：377KG ，总重量：772KG，带4G模块，带加热功能，BMS-自研。,1223.0,355.0,784.0,1043,1
F48560G,EVE,51.2,560.0,960x660x609,900.0,N/A,N/A,280,16S2P,48,-,型号：F48560G叉车项目： 电芯：EVELF280 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸：960*660*609mm）带配重，900kg,960.0,660.0,609.0,1120,0
F48315S,EVE,51.2,315.0,698x558x458,190.0,N/A,N/A,105,16S3P,48,0,"型号：F48315S叉车项目： 电芯：EVELF105 组合方式：16S3P 电压：51.2V 容量：315Ah 电量：16.128KWh（箱体尺寸：698×558×458mm），不带配重，重量：190kg，带加热功能，带4G模块功能，BMS-自研,显示屏：韩文。",698.0,558.0,458.0,729,0
F80560D,瑞浦,80.0,560.0,1025x708x769,,N/A,N/A,280,25S2P,80,1520,"型号：F80560D叉车项目： 电芯：瑞浦280Ah ，组合方式：25S2P 电压：80V 容量：560Ah 电量：44.8KWh（箱体最大尺寸： 1025mm*708mm*769mm）带配重1520KG,，放电插头型号：安德森黑色350，带4G模块。",1025.0,708.0,769.0,1437,1
F24320I,EVE,25.6,320.0,624x284x627,284.0,N/A,Yale MS20X,160,8S2P,24,193,型号：F24320I叉车项目： 电芯：EVELF160 组合方式：8S2P 电压：25.6V 容量：320Ah 电量：8.192KWh（624×284×627mm）配重：193KG，总重量284kg，带加热功能，带4G模块，BMS-自研。（叉车型号：YALE MS20X）,624.0,284.0,627.0,274,0
F48210N,EVE,51.2,210.0,955x370x550,550.0,N/A,TCM FRHB,105,16S2P,48,337,型号：F48210N叉车项目； 电芯：EVELF105 ；组合方式：16S2P ；电压：51.2V； 容量：210Ah； 电量：10.752KWh（955*370*550mm）带配重337KG，总重量550KG，带4G模块，不带加热功能，显示屏线长5M，自研BMS。（叉车型号：TCM  FRHB）,955.0,370.0,550.0,639,0
F24560R,瑞浦,25.6,560.0,767x325x660,379.0,N/A,Hyster BE100ZHD,280,8S2P,24,263,型号：F24560R叉车项目： 电芯：瑞浦280Ah ，组合方式：8S2P 电压：25.6V 容量：560Ah 电量：14.336KWh（箱体最大尺寸：767*325*660mm），配重263KG，总重量379kg，带加热功能， 充电器：ecotec；带4G模块，自研BMS。（叉车型号：Hyster BE100ZHD）,767.0,325.0,660.0,353,1
F48460AY,EVE,51.2,460.0,1223x355x784,,N/A,N/A,230,16S2P,48,950,型号：F48460AY叉车项目： 电芯：EVE230Ah ，组合方式：16S2P 电压：51.2V 容量：460Ah 电量：23.552KWh（箱体尺寸：1223*355*784mm）带配重，配重方式：铁板；配重重量：950KG；带4G模块，带加热功能，BMS-自研。,1223.0,355.0,784.0,882,0
F80608D,EVE,83.2,608.0,1028x855x784,1800.0,N/A,N/A,304,26S2P,80,1200,型号：F80608D叉车项目： 电芯：EVE304Ah ，组合方式：26S2P 电压：83.2V 容量：608Ah 电量：50.585KWh（箱体尺寸：1028*855*784）配重1200KG，总重量：1800KG，带加热功能，带4G模块，自研BMS。,1028.0,855.0,784.0,1462,0
F36420A,EVE,38.4,420.0,970x510x576,,N/A,N/A,105,12S4P,36,630,型号：F36420A叉车项目： 电芯：EVE105Ah ，组合方式：12S4P 电压：38.4V 容量：420Ah 电量：16.128KWh（箱体最大尺寸：970*510*576mm）带配重630KG。,970.0,510.0,576.0,381,0
F24210V,EVE,25.6,210.0,624x284x627,230.0,N/A,N/A,105,8S2P,24,157,"型号：F24210V叉车项目： 电芯：EVELF105 组合方式：8S2P 电压：25.6V 容量：210Ah 电量：5.376KWh（624*284*627mm）带配重，配重总量157kg，总重量230kg。带加热，带4G模块,自研BMS.",624.0,284.0,627.0,149,0
F48320E,EVE,51.2,320.0,100x30x38,,N/A,N/A,160,15S2P,48,-,型号：F48320E 叉车项目： 电芯：EVELF160 组合方式：15S2P 电压：48V 容量：320Ah 电量：16.384KWh。（箱体尺寸：100*30*38mm），不带加热，不带4G，BMS-自研。（箱体焊接按IP67要求，内部加干燥剂，格兰头内部打胶）,100.0,30.0,38.0,739,0
